asset_id,name,asset_type,latitude,longitude,country,admin1,place_name,region_id,operator
AST_J01,Lagos Genset Cluster,industrial_emissions,6.4550,3.3841,Nigeria,Lagos,Lagos,RG_WAF,Climate Impact Partners
AST_J02,Nairobi Cookstove Program,clean_cooking,-1.2921,36.8219,Kenya,Nairobi,Nairobi,RG_EAF,Key Carbon
AST_J03,Rotterdam Cement Plant,construction,51.9244,4.4777,Netherlands,South Holland,Rotterdam,RG_EU,Holcim
AST_J04,Gujarat Flare Capture,industrial_emissions,22.2587,71.1924,India,Gujarat,Gujarat,RG_SAS,Climate Impact Partners
AST_J05,Accra Biomass Stoves,clean_cooking,5.6037,-0.1870,Ghana,Greater Accra,Accra,RG_WAF,BURN Manufacturing
AST_J06,Texas Batch Plant,construction,31.9686,-99.9018,USA,Texas,Texas,RG_NAM,Nucor
AST_J07,Jakarta Power Genset,industrial_emissions,-6.2088,106.8456,Indonesia,Jakarta,Jakarta,RG_SEA,Climate Impact Partners
AST_J08,Kigali Clean Cooking,clean_cooking,-1.9706,30.1044,Rwanda,Kigali,Kigali,RG_EAF,Key Carbon
AST_J09,Ohio Steel Mill,construction,40.4173,-82.9071,USA,Ohio,Ohio,RG_NAM,Nucor
AST_J10,Chennai Refinery Stack,industrial_emissions,13.0827,80.2707,India,Tamil Nadu,Chennai,RG_SAS,Climate Impact Partners
