stakeholder_id,website_role,archetype,primary_phase_id,latitude,longitude,description
STK_RULEMAKERS,The Rulemakers,The Architects,PH_PREFLIGHT,47.6062,-122.3321,Set legal standards and issuance rules (EPA Part 75; CCA; LEED/BREEAM)
STK_MANUFACTURERS,The Manufacturers,OEMs / The Toolmakers,PH_PREFLIGHT,48.1351,11.5820,Produce sensing/hardware and low-carbon products (ABB/Siemens; BURN; Holcim/Nucor)
STK_DEVELOPERS,The Developers,The Project Leads,PH_PREFLIGHT,51.5074,-0.1278,Manage projects generating the data (Climate Impact Partners; Key Carbon; Hines)
STK_GENERATORS,The Generators,Generation / The Source,PH_BIRTH,6.5244,3.3792,Physical source where the event occurs and data is born (gensets; stoves; batch plants)
STK_TESTERS,The Testers,Testing / The Calibrators,PH_BIRTH,40.4406,-79.9959,Verify sensor/device accuracy (RATA stack testers; Iceed; material labs)
STK_LOGGERS,The Loggers,The Indexers,PH_BIRTH,37.7749,-122.4194,Record raw operational data (SCADA; Nexleaf/IoT; Autodesk/Procore BIM)
STK_MODELERS,The Modelers,LCA / The Math Team,PH_MATURATION,52.5200,13.4050,Convert readings to CO2e via lifecycle math (LCA practitioners; Climate Focus; One Click LCA)
STK_AUDITORS,The Auditors,VVBs / The Inspectors,PH_MATURATION,48.7758,9.1829,Independent third-party verification (TUV SUD; Gold Standard VVBs; UL Solutions)
STK_LABELERS,The Labelers,The Quality Seals,PH_MATURATION,46.2044,6.1432,Attach integrity/co-benefit tags (ICVCM; SDG Impact; EPD issuers)
STK_MINTERS,The Minters,Registries / The Bank,PH_MATURATION,1.3521,103.8198,Issue serialized credits and hold the registry (Verra; Gold Standard; EC3)
STK_RATERS,The Raters,The Appraisers,PH_EXIT,51.5155,-0.0922,Grade credit quality/risk (BeZero; Sylvera; USGBC ratings)
STK_FACILITATORS,The Facilitators,Market / The Storefront,PH_EXIT,40.7128,-74.0060,Marketplaces where assets trade (Patch/Xpansiv; Carbon Exchange; green procurement)
STK_BUYERS,The Buyers,The Investors,PH_EXIT,47.6101,-122.2015,Purchase credits/assets to meet mandates (Microsoft/Disney; outcome buyers; REITs)
STK_REPORTERS,The Reporters,The Accountants,PH_EXIT,37.3861,-122.0839,ESG disclosure and outcome reporting (Watershed/Persefoni; ESG Dive; GRESB/GRI)
STK_REGULATORS,The Regulators,The Referees,PH_EXIT,38.8951,-77.0364,National/local referees enforcing claims (IRS/EPA; Ministry of Energy; building depts)
STK_RETIREMENT,,The Vault,PH_EXIT,0.0000,0.0000,Terminal sink where credits are retired and cannot be reused (lifecycle finality)
